renabap_id|nombre|provincia|departamento|localidad|cantidad_familias_aproximada|decada_de_creacion|anio_de_creacion|energia_electrica|efluentes_cloacales|agua_corriente|cocina|calefaccion|situacion_dominial|clasificacion_barrio|superficie_m2
3613|NM2572|PR7|DP176|LC476|CN89|DC2|ND1|NR2|FL2|GC5|CC1|CL3|ST2|CL1|SP3266
3614|NM2573|PR7|DP176|LC476|CN163|DC7|ND4|NR2|FL2|GC2|CC3|CL3|ST2|CL1|SP3267
3615|NM2574|PR7|DP176|LC476|CN6|DC2|ND1|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3268
3616|NM2575|PR7|DP176|LC476|CN21|DC2|ND1|NR2|FL2|GC2|CC3|CL2|ST2|CL2|SP3269
3617|NM2576|PR7|DP176|LC476|CN95|DC2|ND1|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3270
3618|NM2577|PR7|DP176|LC476|CN64|DC1|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3271
3619|NM492|PR7|DP30|LC135|CN27|DC3|ND1|NR3|FL2|GC2|CC1|CL3|ST2|CL1|SP3272
3620|NM2578|PR7|DP176|LC476|CN358|DC1|ND1|NR1|FL2|GC2|CC1|CL3|ST2|CL2|SP3273
3621|NM2579|PR7|DP177|LC389|CN15|DC2|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3274
3622|NM37|PR7|DP177|LC389|CN1|DC7|ND8|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3275
3623|NM2580|PR7|DP177|LC389|CN24|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST3|CL1|SP3276
3624|NM1394|PR7|DP177|LC389|CN34|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3277
3625|NM419|PR7|DP170|LC471|CN98|DC3|ND1|NR3|FL2|GC2|CC3|CL2|ST3|CL1|SP3278
3626|NM510|PR7|DP172|LC191|CN233|DC2|ND1|NR2|FL2|GC2|CC1|CL3|ST3|CL1|SP3279
3627|NM613|PR7|DP176|LC476|CN9|DC1|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3280
3629|NM1394|PR7|DP173|LC473|CN289|DC2|ND1|NR2|FL2|GC1|CC3|CL2|ST2|CL1|SP3281
3630|NM2581|PR7|DP178|LC477|CN41|DC2|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3282
3631|NM2582|PR7|DP30|LC135|CN16|DC3|ND1|NR3|FL2|GC3|CC1|CL2|ST2|CL1|SP3283
3632|NM2255|PR11|DP179|LC478|CN62|DC5|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3284
3633|NM2583|PR11|DP180|LC479|CN23|DC1|ND1|NR2|FL1|GC2|CC1|CL2|ST2|CL2|SP3285
3634|NM2584|PR11|DP179|LC478|CN54|DC4|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3286
3636|NM1394|PR11|DP180|LC479|CN17|DC5|ND1|NR3|FL2|GC3|CC1|CL3|ST2|CL1|SP3287
3637|NM230|PR11|DP179|LC478|CN16|DC1|ND1|NR3|FL2|GC2|CC1|CL3|ST2|CL1|SP3288
3638|NM2585|PR11|DP181|LC480|CN23|DC2|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3289
3639|NM2586|PR11|DP180|LC479|CN95|DC2|ND1|NR1|FL2|GC2|CC1|CL2|ST2|CL1|SP3290
3640|NM2587|PR11|DP181|LC480|CN24|DC7|ND2|NR2|FL2|GC2|CC1|CL4|ST2|CL1|SP3291
3641|NM2074|PR11|DP180|LC479|CN1|DC2|ND1|NR1|FL2|GC2|CC1|CL3|ST2|CL1|SP3292
3643|NM1527|PR11|DP180|LC479|CN5|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3293
3644|NM37|PR11|DP181|LC480|CN69|DC7|ND5|NR2|FL2|GC2|CC3|CL3|ST2|CL1|SP3294
3645|NM2588|PR11|DP181|LC480|CN82|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST3|CL1|SP3295
3646|NM31|PR11|DP180|LC479|CN23|DC3|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL2|SP3296
3647|NM2589|PR11|DP180|LC479|CN60|DC4|ND1|NR1|FL1|GC2|CC1|CL2|ST2|CL1|SP1926
3648|NM2590|PR11|DP181|LC480|CN47|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3297
3649|NM2591|PR11|DP180|LC479|CN15|DC5|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3298
3650|NM2592|PR11|DP182|LC481|CN175|DC1|ND1|NR6|FL2|GC2|CC1|CL2|ST2|CL1|SP3299
3651|NM2593|PR11|DP183|LC196|CN179|DC5|ND1|NR3|FL2|GC2|CC1|CL2|ST3|CL1|SP3300
3652|NM1337|PR11|DP184|LC482|CN15|DC10|ND1|NR3|FL2|GC4|CC1|CL5|ST2|CL1|SP3301
3653|NM2594|PR11|DP182|LC481|CN254|DC2|ND1|NR3|FL2|GC2|CC1|CL2|ST3|CL1|SP3302
3654|NM1249|PR11|DP185|LC483|CN303|DC6|ND1|NR3|FL2|GC2|CC1|CL3|ST2|CL1|SP3303
3655|NM228|PR11|DP184|LC482|CN41|DC4|ND1|NR3|FL2|GC6|CC1|CL5|ST2|CL1|SP3304
3656|NM1337|PR11|DP185|LC483|CN23|DC2|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3305
3657|NM2595|PR11|DP186|LC484|CN6|DC7|ND3|NR2|FL6|GC8|CC1|CL4|ST2|CL1|SP3306
3658|NM2596|PR11|DP180|LC479|CN37|DC1|ND1|NR1|FL5|GC2|CC1|CL2|ST2|CL1|SP3307
3659|NM2597|PR11|DP186|LC484|CN105|DC2|ND1|NR2|FL6|GC6|CC1|CL4|ST2|CL1|SP3308
3660|NM2598|PR11|DP180|LC479|CN1|DC1|ND1|NR2|FL2|GC3|CC1|CL2|ST2|CL1|SP3309
3661|NM666|PR11|DP186|LC485|CN187|DC2|ND1|NR3|FL1|GC6|CC1|CL2|ST2|CL1|SP3310
3662|NM2599|PR11|DP180|LC479|CN37|DC1|ND1|NR2|FL2|GC2|CC1|CL4|ST2|CL1|SP3311
3663|NM2600|PR11|DP186|LC485|CN23|DC7|ND3|NR3|FL2|GC1|CC1|CL2|ST2|CL1|SP3312
3664|NM1948|PR11|DP180|LC479|CN126|DC1|ND1|NR3|FL3|GC3|CC1|CL4|ST2|CL1|SP3313
3665|NM2601|PR11|DP180|LC479|CN40|DC2|ND1|NR3|FL2|GC2|CC1|CL4|ST2|CL2|SP3314
3666|NM2602|PR11|DP179|LC478|CN54|DC6|ND1|NR3|FL2|GC6|CC1|CL2|ST2|CL1|SP3315
3667|NM730|PR11|DP179|LC478|CN24|DC5|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3316
3668|NM2603|PR11|DP81|LC174|CN16|DC2|ND1|NR2|FL2|GC2|CC3|CL2|ST3|CL1|SP3317
3669|NM2604|PR11|DP184|LC482|CN75|DC5|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3318
3670|NM2605|PR11|DP184|LC482|CN21|DC3|ND1|NR3|FL2|GC2|CC1|CL5|ST3|CL1|SP3319
3671|NM1948|PR11|DP184|LC482|CN176|DC6|ND1|NR3|FL2|GC2|CC1|CL5|ST3|CL2|SP3320
3672|NM2606|PR11|DP184|LC482|CN45|DC4|ND1|NR3|FL1|GC9|CC1|CL2|ST2|CL1|SP3321
3673|NM2607|PR11|DP180|LC479|CN5|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3322
3674|NM2608|PR11|DP180|LC479|CN149|DC2|ND1|NR2|FL2|GC2|CC1|CL4|ST2|CL1|SP3323
3675|NM1085|PR11|DP179|LC478|CN17|DC5|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL2|SP3324
3676|NM2609|PR11|DP180|LC479|CN126|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3325
3677|NM2610|PR11|DP179|LC478|CN15|DC4|ND1|NR3|FL4|GC2|CC1|CL2|ST3|CL2|SP3326
3678|NM2611|PR11|DP180|LC479|CN80|DC6|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3327
